model_name,horizon,target,dataset,nRMSE,nMAE,NSE,KGE
LSTM_MLP,2,Algae_Sum,train,0.23853111151855946,0.16997030952072742,0.8219905839937914,0.8475414723965401
LSTM_MLP,3,Green_Algae,train,0.33299454074888907,0.23567615190551316,0.8427960215388661,0.857243003704328
LSTM_MLP,3,Cyanobacteria,train,0.30591244899891173,0.21449187943724154,0.7448535733138579,0.792821285679093
LSTM_MLP,3,Diatoms,train,0.42395822962135926,0.2875487624850094,0.7842429386750491,0.8348237061375863
LSTM_MLP,3,Cryptophyta,train,0.4771447242214709,0.33579498552917314,0.7651939405008648,0.7865223539431903
LSTM_MLP,3,Algae_Sum,train,0.25001056352840806,0.18072291715088748,0.8040120446906334,0.8397902347530064
LSTM_MLP,1,Green_Algae,val,0.7885094401883652,0.5651852761428123,0.4135158158462684,0.39960048707064955
LSTM_MLP,1,Cyanobacteria,val,0.3042662603296382,0.2163689081409472,0.44787163989410106,0.5151885812442974
LSTM_MLP,1,Diatoms,val,0.864162688133664,0.5974311636434032,0.6058244480858861,0.5490336598652835
LSTM_MLP,1,Cryptophyta,val,0.5062232245640889,0.42203931306328907,-0.07138950226755947,0.46393783963877033
LSTM_MLP,1,Algae_Sum,val,0.3379808295871734,0.26817889710159853,0.3027517105544748,0.5334240023369731
LSTM_MLP,2,Green_Algae,val,0.9324159729886883,0.6807348663634637,0.19763513028295288,0.30552077511990483
LSTM_MLP,2,Cyanobacteria,val,0.372394234393466,0.26579856462671964,0.17618582138853778,0.3614013617511229
LSTM_MLP,2,Diatoms,val,0.9904195276791476,0.6920187593503916,0.4828765614972349,0.45965381765303137
LSTM_MLP,2,Cryptophyta,val,0.6249725360537861,0.5042505179523172,-0.6536783607850478,0.3228986963159187
LSTM_MLP,2,Algae_Sum,val,0.423486762768835,0.3338059199633875,-0.08404122971791073,0.3273964643593704
LSTM_MLP,3,Green_Algae,val,1.1005821021243747,0.8284466615614732,-0.09166793607155821,0.11904254815898985
